taxonId,area,gazetteer,status,referenceID,remarks
461,LK,iso,native,101,
463,ID-PP,iso,native,101,
463,PG,iso,native,101,
462,MY-13,iso,native,101,
465,ID-SL,iso,native,101,
466,FJ,iso,native,101,
467,MY-06,iso,native,101,
472,CD,iso,native,131,
473,CD,iso,native,131,
107,CD,iso,native,131,
334,CD,iso,native,131,
84,CD,iso,native,131,
474,LR,iso,native,132,
475,GH,iso,native,132,
364,GH,iso,native,132,
364,CM,iso,native,132,
211,LR,iso,native,132,
211,CM,iso,native,132,
141,GH,iso,native,132,
141,ZA,iso,native,132,
141,MW,iso,native,132,
476,TW,iso,native,133,
437,IN,iso,native,,
437,PH,iso,native,,
437,RU,iso,native,,
437,CN,iso,native,,
437,JP,iso,native,,
437,RU-SAK,iso,native,149,
479,ZA-MP,iso,native,150,
480,BR-DF,iso,native,151,
480,BR-GO,iso,native,151,
480,BR-MG,iso,native,151,
359,PF,iso,native,11,Fatu Hiva
288,PF,iso,native,11,Hiva Oa
361,ID-PP,iso,native,14,"Iebèlè Camp (14 km NE of Danau Habbema - map in Diakonoff, 1952)"
94,PE,iso,native,153,
94,CL,iso,native,104,
18,CR,iso,native,117,"Cartago: Volcan de Irazu, 6000-7000 ft."
258,GT,iso,native,117,"Retalhuleu: Las Mercedes, 3000 ft."
223,CO,iso,native,129,Ubaque
223,MX,iso,native,117,"Guerrero: Amula, 6000 ft."
126,MX,iso,native,117,Tabasco: Teapa
126,JM,iso,native,117,St. Ann: Moneague; Runaway Bay
290,HN,iso,native,110,
