nameID,referenceID,page,link,remarks
11,42,542,,
6,40,135,,
8,46,421,https://www.biodiversitylibrary.org/page/13718223,Name introduced for family containing Tineodes but not discussed in paper
7,46,437,https://www.biodiversitylibrary.org/page/13718239,
412,46,438,https://www.biodiversitylibrary.org/page/13718240,
454,23,236,,https://www.biodiversitylibrary.org/page/9825892
9,16,39,,
10,16,40,,
146,42,542,,
12,32,431,,
13,39,148,,
14,54,4,https://www.biodiversitylibrary.org/page/50494889,Misspelling
15,30,94,,
17,22,16,,
19,117,450,https://www.biodiversitylibrary.org/page/593632,Original description
21,57,269,https://www.biodiversitylibrary.org/page/50477203,Original description
23,88,161,,
24,80,40,,
25,38,561-568,,
26,123,114,,
28,88,161,,
31,65,96,,
33,62,409,https://www.biodiversitylibrary.org/page/9808827,Original description
35,66,533,https://www.biodiversitylibrary.org/page/60297893,Original description
37,66,536,https://www.biodiversitylibrary.org/page/60297896,Original description
38,22,17,,
40,14,184,https://www.biodiversitylibrary.org/page/51525585,Original description
45,70,401,,
47,119,259,,
48,102,108-110,,
49,102,106-107,,
51,66,535,https://www.biodiversitylibrary.org/page/60297895,Original description
53,62,406,https://www.biodiversitylibrary.org/page/9808824,
55,119,260,,
56,99,134,,
57,80,17,,
58,102,114-116,,
60,28,191,,
60,5,68,https://www.nhm.ac.uk/our-science/data/lepindex/detail/?taxonno=68,Misspelling
63,22,15,,Misspelling
66,76,122,,
68,19,637,,
69,125,883,,
70,125,882,,
71,112,130,,
72,80,26,,
74,53,510,,
75,15,"Plate CXL, fig. 63",https://www.biodiversitylibrary.org/page/1221397,Original illustration
77,54,4,https://www.biodiversitylibrary.org/page/50494889,Original description
77,54,"Plate 2, fig. 4",https://www.biodiversitylibrary.org/page/50494916,Illustration
79,53,507,,
81,4,293,,
83,106,457,,
85,63,95,https://www.biodiversitylibrary.org/page/60297455,
87,71,119,,Original description
89,69,506,https://www.biodiversitylibrary.org/page/60386730,Original description
90,128,413,https://www.biodiversitylibrary.org/page/44485253,
91,74,101,,
93,66,536,https://www.biodiversitylibrary.org/page/60297896,Original description
94,104,85,,Original description
95,80,54,,
96,22,19,,
97,102,112-114,,
98,22,19,,
99,126,908,https://www.biodiversitylibrary.org/page/13234116,
101,85,405,,
102,22,19,,
106,116,174,,
104,105,89,,
109,28,190,,
111,66,533,https://www.biodiversitylibrary.org/page/60297893,Original description
113,28,193,,
114,99,129,,
116,66,533,https://www.biodiversitylibrary.org/page/60297893,Original description
117,15,"Plate CXL, Fig. 62",https://www.biodiversitylibrary.org/page/1221397,Original illustration
119,14,177,,
124,72,41,,
125,113,285,,
127,117,450,https://www.biodiversitylibrary.org/page/593632,Original description
129,61,107,,
133,20,37,,
134,99,131,,
136,13,214,,
137,127,869,https://www.biodiversitylibrary.org/page/13238988,
138,125,880,,
140,1,225,https://biodiversitylibrary.org/page/47928623,Original description
142,59,293,,
143,91,83,,
147,83,379,,
148,31,Pl. 6 Fig. 28,,
150,75,242,,
152,61,108,,
153,111,24,https://www.biodiversitylibrary.org/page/2566949,
155,34,220,,
156,120,220,,
158,9,28,,
159,80,44,,
161,69,625,https://www.biodiversitylibrary.org/page/60386849,Original description
163,66,538,,Original description
164,80,34,,
167,50,583,,
169,64,373,https://www.biodiversitylibrary.org/page/60297733,Original description
170,102,107-108,,
171,99,133,,
175,77,491,,
177,21,112,,
214,38,555-561,,
179,92,5,,
181,22,20,,
182,38,568-577,,
184,56,221,https://www.biodiversitylibrary.org/page/50495144,Original description
185,99,126,,
187,139,24,,Original description
189,99,127,,
191,55,107,,
192,22,21,,
194,53,510,,
195,80,42,,Recognition as species
196,140,210,https://www.biodiversitylibrary.org/page/5325364,Original description
198,22,21,,
200,86,151,,
201,141,52,,Original description
202,103,1115,,
204,53,508,,
206,66,534,https://www.biodiversitylibrary.org/page/60297894,Original description
208,14,181,,
211,99,130,,
