ID,author,title,issued,containerTitle,volume,issue,page,link,citation
1,"Alphéraky, S.",Cheshuekrylyya (Lepidoptera) okrestnostei Taganroga (Lepidoptera of the environs of Taganrog),1876,Trudy Russkago Entomologicheskago Obshchestva [= Horae Societatis Entomologicae Rossicae],8,,150–226,https://biodiversitylibrary.org/page/47928548,
2,"Alphéraky, S.",Lepidoptera Caucasi Septentrionalis.,1876,Trudy Russkago Entomologicheskago Obshchestva [= Horae Societatis Entomologicae Rossicae],10,,3–53,https://biodiversitylibrary.org/page/47933033,
3,"Amsel, H.G.","Die Microlepidopteren der Brandt'schen Iran-Ausbeute, 5",1961,Arkiv för Zoologi,13,,323-446,,
4,"Amsel, H.G.",Neue palästinensische Lepidopteren,1935,Mitteilungen aus dem Zoologischen Museum in Berlin,20,,271–320,,
5,"Beccaloni, G., Scoble, M., Kitching, I., Simonsen, T., Robinson, G., Pitkin, B., Hine, A. & Lyal, C. (Editors)",The Global Lepidoptera Names Index (LepIndex),2018,Web database,,,,https://www.nhm.ac.uk/our-science/data/lepindex/lepindex/,
6,"Byun, B.-K.",Alucitidae (Lepidoptera) of Korea: Description of a new species and records of two previously unrecorded species,2006,Zootaxa,1188,,37–47,https://www.biotaxa.org/Zootaxa/article/view/zootaxa.1188.1.3,
7,"Byun, B.-K. & Park, K.-T.",Discovery of two new species of Alucitidae (Lepidoptera) from Vietnam,2007,Zootaxa,1390,,51–57,https://doi.org/10.11646%2Fzootaxa.1390.1.6,
8,"Caradja, A.",Beitrag zur Kenntnis der geographischen Verbreitung der Mikrolepidopteren des palaearktischen Faunengebietes nebst Beschreibung neuer Formen,1920,Deutsche entomologische Zeitschrift Iris,34,,75–179,https://www.biodiversitylibrary.org/part/101207,
9,"Caradja, A. & Meyrick, E.",Materialen zu einer Microlepidopteren-Fauna Kwan-tungs,1934,Deutsche entomologische Zeitschrift Iris,48,,28–43,,
10,"Chrétien, P.",Contribution a la connaissance des Lepidopteres,1915,Annales de la Société entomologique de France,84,,289–374,https://www.biodiversitylibrary.org/part/21039,
11,"Clarke, J.F.G.",Pyralidae and Microlepidoptera of the Marquesas Archipelago,1986,Smithsonian Contributions to Zoology,,,1–485,https://doi.org/10.5479/si.00810282.416,
12,"Cockerell, T.D.A.",Alucita hexadactyla L. in Colorado,1889,The Entomologist's Monthly Magazine,25,,213–214,https://biodiversitylibrary.org/page/30321136,
13,"Diakonoff, A.",Records and Descriptions of Microlepidoptera (2),1948,,,,483-524,,
14,"Diakonoff, A.",Microlepidoptera of New Guinea : results of the third Archbold expedition : (American-Netherlands Indian expedition 1938-1939) : part IV,1954,,,,196 pp.,https://www.biodiversitylibrary.org/page/51525402,
15,"Felder, R. & Rogenhofer, A.F.",Atlas der Heterocera,1875,Reise der Österreichischen Fregatte Novara um die Erde in den Jahren 1857-1859,2(2),,Zoology plate 140,https://www.biodiversitylibrary.org/page/1221396,
16,"Fleming, H.","A new genus and species of Orneodidae (moths) from Rancho Grande, North-central Venezuela.",1948,"Zoologica, Stuttgart",33,,39–41,https://biodiversitylibrary.org/page/52150432,
17,"Fletcher, T.B.",A new genus and species of Orneodidae (Lep.),1909,The Entomologist,42,,253-254,https://www.biodiversitylibrary.org/page/25338570,
18,"Fletcher, T.B.",The Orneodidae and Pterophoridae of the Seychelles Expedition,1910,"Transactions of the Linnean Society of London, 2nd Series, Zoology",13,,397–403,https://www.biodiversitylibrary.org/page/16399348,
19,"Fletcher, T.B.","XXVII. On Walker’s Types of Plume-moths in the National Collection: Redescriptions and Notes. T. Bainbrigge Fletcher R.N., F.L.S., F.E.S., F.Z.S. Imperial Entomologist to the Government of India",1926,Transactions of the Royal Entomological Society of London,73,,599–639,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2311.1926.tb02653.x,
20,"Ghesquière, J.",Lépidoptères Microlépidoptères (première partie),1940,Annales du Musée Royal du Congo Belge. Zoologie,7,,1–120,,
21,"Gielis, C.","World Catalogue of Insects Volume 4, Pterophoroidea and Alucitoidea (Lepidoptera)",2003,World Catalogue of Insects,4,,1-198,,
22,"Gielis, C.","Additions to the Alucitidae of Papua, Indonesia (Lepidoptera)",2009,Boletin Sociedad Entomológica Aragonesa,44,,15–33,https://www.researchgate.net/publication/270338071_ADDITIONS_TO_THE_ALUCITIDAE_OF_PAPUA_INDONESIA_LEPIDOPTERA,
23,"Guenée, A.& Boisduval, J.A.","Histoire naturelle des insectes, Tome Huitième, Deltiïdes et Pyralites",1854,,,,,http://www.biodiversitylibrary.org/item/37754,
24,"Hampson, G.F.",On three remarkable new genera of micro-lepidoptera,1905,Trans. ent. Soc. London,1905,,245-249,https://www.biodiversitylibrary.org/page/14788065,
25,"Hampson, G.F.",Descriptions of new species of Pyralidae of the subfamily Pyraustinae (cont.),1913,Ann. Mag. nat. Hist. (Series 8),12(67),,299-319,https://www.biodiversitylibrary.org/page/22099786,
26,"Hannemann, H.J.",Über die Gattungszugehörigkeit von Alucita [Orneodes] dodecadactyla,1959,Deutsche Entomologische Zeitscrift (N.F.),6,,170-173,,
27,"Heikkilä, M., Mutanen, M., Wahlberg, N., Sihvonen, P. & Kaila, L.",Elusive ditrysian phylogeny: an account of combining systematized morphology with molecular data (Lepidoptera),2015,BMC Evolutionary Biology,,,15,https://doi.org/10.1186%2Fs12862-015-0520-0,
28,"Hering, M.",Sieben neue Arten der Gattung Orneodes (Mikrolepid.).,1917,Stettiner Entomologische Zeitung,78,,190–195,https://biodiversitylibrary.org/page/9271808,
29,"Hewitson, W.C. & Moore, F.",Descriptions of new Indian lepidopterous insects from the collection of the late Mr. W.S. Atkinson,1888,,,,,http://www.biodiversitylibrary.org/item/26805#page/216/mode/2up,
30,"Heydenreich, G.",Lepidopterorum europaeorum catalogus methodicus (Systematisches verzeichniss der europaeischen schmetterlinge),1851,,,,131 pp.,https://www.google.com.au/books/edition/Lepidopterorum_Europaeorum_catalogus_met/XJY-AAAAcAAJ,
31,"Hübner, J.",Sammlung europäischer Schmetterlinge,1813,,,,,http://www.biodiversitylibrary.org/item/89072#page/320/mode/2up,
32,"Hübner, J.",Verzeichniss bekannter Schmetterlinge,1825,,,,,http://www.biodiversitylibrary.org/item/103196#page/312/mode/2up,
33,"Inoue, H.",Two new species of Pyralidoidea from Japan.,1956,,,,257-258,,
34,"Jourdheuille, C.",Catalogue des Lépidoptères de l'Aube,1883,,,,5-229,https://gallica.bnf.fr/ark:/12148/bpt6k55313167/f5.image,
35,"Korb, S.K.","A new subspecies of Alucita kosterini Ustjuzhanin, 1999 (Lepidoptera: Alucitidae) from the Turkestansky mountain ridge, Tajikistan",2013,Entomologist's Gazette,64,,55–60,,
36,"Kovtunovich, V. & Ustjuzhanin, P.","Alucita zinovievi, new species of many-plumed moth from Cameroon (Lepidoptera, Alucitidae)",2016,Amurian zoological journal,8,,299–300,,
37,"Kuznetzov, V.I.",New species of microlepidoptera from Middle Asia,1978,Trudy zool. Inst. Leningr,71,,110–119,,
38,"Landry, B. & Landry, J.-F.","The genus Alucita in North America, with description of two new species (Lepidoptera: Alucitidae)",2004,The Canadian Entomologist,136,,553–579,https://pdfs.semanticscholar.org/fe7d/b82a6a979bd314dc48d873bba3cd8a098951.pdf,
39,"Latreille, P.A.",Précis des caractères génériques des Insectes disposés dans un ordre naturel par le Citoyen Latreille,1796,,,,i-xiv + 215 pp,https://www.biodiversitylibrary.org/page/42201773,
40,"Leach, W.E.",Entomology [pp. 57–172],1815,Brewster’s Edinburgh Encyclopedia Volume IX [part I],,,1-764,https://biodiversitylibrary.org/page/17493547,
42,"Linnaeus, C.","Systema naturae per regna tria naturae: secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis",1758,,,,1-824,https://www.biodiversitylibrary.org/page/726886,
43,"Mastrigt, H.J.G. Van & Gielis, C.","Some important notes on Alucitidae (Lepidoptera) of Papua, Indonesia, with description of a new species",2009,Suara Serangga Papua,4,,34–39,https://www.sugapa.org/wp-content/uploads/2019/03/Some-important-notes-on-Alucitidae-Henk-van-Mastrigt-Cees-Gielis-SUGAPA-42-2009.pdf,
44,"Matsumura, S.",6000 illustrated Insects of Japan-Empire,1931,,,,,,
46,"Meyrick, E.",X. On the classification of the Australian Pyralidina,1885,Transactions of the Entomological Society of London,33,,421–456,https://www.biodiversitylibrary.org/page/13718223,
47,"Meyrick, E.",On the classification of the Pterophoridae,1886,Transactions of the Entomological Society of London,1886,,1–21,https://www.biodiversitylibrary.org/part/17470,
48,"Meyrick, E.",Transactions of the Royal Entomological Society of London,1887,,,,,http://www.biodiversitylibrary.org/item/48720#page/230/mode/2up,
49,"Meyrick, E.",Descriptions of additional Australian Pyralidina,1890,Proceedings of the Linnean Society of New South Wales,4,,1105–1116,https://www.biodiversitylibrary.org/part/15081,
50,"Meyrick, E.",Descriptions of Indian Micro-Lepidoptera,1905,The journal of the Bombay Natural History Society,16,,580–619,https://www.biodiversitylibrary.org/part/13703,
