ID,parentID,nameID,scrutinizer,scrutinizerDate,provisional,referenceID,extinct,temporalRangeEnd,lifezone,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,genus,uninomial,species,remarks
1,,1,"Gielis, C. & Hobern, D.",2020-07-16,false,,false,Holocene,,,,,,,,,,,Animalia,,
2,1,2,"Gielis, C. & Hobern, D.",2020-07-16,false,,false,Holocene,,Animalia,,,,,,,,,Arthropoda,,
3,2,3,"Gielis, C. & Hobern, D.",2020-07-16,false,,false,Holocene,,Animalia,Arthropoda,,,,,,,,Insecta,,
4,3,4,"Gielis, C. & Hobern, D.",2020-07-16,false,,false,Holocene,,Animalia,Arthropoda,Insecta,,,,,,,Lepidoptera,,
5,4,5,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,,,,,,Alucitoidea,,
6,5,6,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,,,,,Alucitidae,,
9,6,9,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,,Alinguata,,
10,9,10,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alinguata,,Alinguata neblina,
11,6,11,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,,Alucita,,
16,11,16,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita aarviki,
17,11,17,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita abenahoensis,
18,11,18,"Gielis, C. & Hobern, D.",2020-10-30,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita acalles,
20,11,20,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita acalyptra,
22,11,22,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita acascaea,
24,11,24,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita acutata,
25,11,25,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita adriendenisi,
26,11,26,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita adzharica,
27,11,27,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita agapeta,
29,11,29,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita agassizi,
30,11,30,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita amalopis,
32,11,32,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita ancalopa,
34,11,34,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita anemolia,
36,11,36,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita anticoma,
38,11,38,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita aramsolkiensis,
39,11,39,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita argyrospodia,
41,11,41,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita arriguttii,
44,11,44,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita atomoclasta,
46,11,46,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita baihua,
48,11,48,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita bakingili,
49,11,49,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita bakweri,
50,11,50,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita baliochlora,
52,11,52,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita balioxantha,
54,11,54,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita beinongdai,
56,11,56,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita besongi,
57,11,57,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita bidentata,
58,11,58,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita bokwango,
59,11,59,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita brachyphimus,
65,11,65,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita bridarollii,
67,11,67,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita brunnea,
69,11,69,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita budashkini,
70,11,70,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita bulgaria,
71,11,71,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita butleri,
72,11,72,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita canariensis,
73,11,73,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita cancellata,
75,11,75,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita capensis,
76,11,76,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita certifica,
78,11,78,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita chloracta,
80,11,80,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita cinnerethella,
82,11,82,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita coffeina,
84,11,84,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita compsoxantha,
86,11,86,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita crococyma,
88,11,88,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita cyanophanes,
90,11,90,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita cymatodactyla,
92,11,92,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita cymographa,
94,11,94,"Gielis, C. & Hobern, D.",2020-10-30,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita danunciae,
95,11,95,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita debilella,
96,11,96,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita deboeri,
97,11,97,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita deja,
98,11,98,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita dejongi,
99,11,99,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita desmodactyla,
102,11,102,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita devosi,
103,11,103,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita dohertyi,
107,11,107,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita ectomesa,
112,11,112,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita entoprocta,
114,11,114,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita escobari,
115,11,115,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita eteoxantha,
117,11,117,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita eudactyla,
118,11,118,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita eudasys,
120,11,120,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita eurynephela,
124,11,124,"Gielis, C. & Hobern, D.",2020-07-17,false,,false,Holocene,terrestrial,Animalia,Arthropoda,Insecta,Lepidoptera,Alucitoidea,Alucitidae,,,Alucita,,Alucita euscripta,
